id,age,education_level,job_title,department,location,employment_duration,salary
830,56,High School,Engineer,R&D,Boston,14,64000
728,26,Bachelors,Engineer,R&D,Chicago,7,62000
850,51,High School,Engineer,Marketing,San Francisco,13,63000
199,33,High School,Scientist,R&D,Chicago,12,67000
282,38,Masters,Scientist,R&D,New York,14,84000
553,54,PhD,Manager,Marketing,Boston,4,89000
676,47,High School,Engineer,Marketing,Chicago,2,52000
543,62,High School,Analyst,R&D,San Francisco,12,57000
192,52,Masters,Scientist,Marketing,San Francisco,9,79000
191,22,High School,Scientist,Sales,San Francisco,6,61000
52,26,Masters,Engineer,Sales,Boston,27,92000
999,39,Bachelors,Analyst,Sales,Chicago,8,58000
31,56,High School,Manager,Sales,Boston,19,79000
209,41,Bachelors,Scientist,Marketing,Chicago,17,77000
71,35,Masters,Engineer,R&D,New York,1,66000
255,56,Masters,Engineer,Marketing,New York,10,75000
829,38,Masters,Scientist,HR,Chicago,8,78000
5,30,Bachelors,Manager,Sales,New York,8,73000
345,25,Masters,Manager,Sales,New York,10,85000
876,44,PhD,Scientist,R&D,Boston,11,91000
301,21,Bachelors,Engineer,HR,Boston,20,75000
434,54,High School,Scientist,R&D,Chicago,18,73000
704,24,High School,Engineer,HR,New York,2,52000
709,27,High School,Analyst,Marketing,New York,29,74000
453,47,High School,Manager,HR,New York,14,74000
838,29,Masters,Engineer,R&D,San Francisco,23,88000
207,32,Bachelors,Engineer,Sales,San Francisco,3,58000
534,51,Bachelors,Manager,HR,Boston,20,85000
178,42,Bachelors,Manager,HR,New York,5,70000
654,39,PhD,Analyst,Sales,San Francisco,6,76000
729,59,High School,Scientist,Sales,San Francisco,29,84000
335,40,Masters,Engineer,HR,Boston,9,74000
10,27,High School,Engineer,Marketing,New York,28,78000
212,58,Bachelors,Analyst,HR,New York,23,73000
638,33,High School,Engineer,R&D,New York,22,72000
596,43,Masters,Analyst,R&D,San Francisco,18,78000
447,24,Bachelors,Engineer,Marketing,Chicago,7,62000
290,50,Bachelors,Scientist,Sales,New York,4,64000
839,53,PhD,Analyst,R&D,Chicago,21,91000
770,53,High School,Scientist,Marketing,Chicago,23,78000
768,53,High School,Engineer,Marketing,Boston,8,58000
684,60,Bachelors,Engineer,R&D,San Francisco,26,81000
181,28,Bachelors,Manager,Sales,Chicago,9,74000
139,63,Masters,Engineer,Marketing,Chicago,2,67000
568,36,Bachelors,Scientist,R&D,San Francisco,4,64000
260,24,PhD,Scientist,R&D,Chicago,1,81000
141,34,Bachelors,Scientist,R&D,New York,15,75000
906,23,High School,Manager,Marketing,Boston,22,82000
796,36,PhD,Engineer,Sales,New York,18,93000
703,39,High School,Engineer,R&D,San Francisco,23,73000
84,35,Bachelors,Manager,R&D,San Francisco,1,66000
943,42,Bachelors,Engineer,Marketing,Chicago,13,68000
856,24,Bachelors,Engineer,R&D,Chicago,1,56000
19,38,Bachelors,Engineer,R&D,New York,28,83000
279,32,Bachelors,Manager,HR,New York,6,71000
696,39,Masters,Engineer,R&D,New York,3,68000
194,45,High School,Analyst,Marketing,Chicago,6,51000
62,22,PhD,Engineer,R&D,San Francisco,25,100000
252,29,Bachelors,Scientist,R&D,New York,9,69000
179,52,Bachelors,Scientist,R&D,San Francisco,18,78000
698,45,High School,Scientist,Marketing,Boston,26,81000
812,57,Masters,Scientist,R&D,Chicago,18,88000
706,21,High School,Engineer,R&D,New York,7,57000
749,33,PhD,Scientist,HR,New York,10,90000
550,52,Bachelors,Manager,Marketing,Chicago,25,90000
527,21,High School,Scientist,Marketing,Boston,27,82000
908,31,High School,Engineer,R&D,Boston,3,53000
721,23,High School,Manager,HR,Boston,3,63000
844,50,High School,Analyst,Marketing,Boston,5,50000
115,55,Masters,Scientist,HR,San Francisco,10,80000
372,29,Masters,Manager,R&D,New York,13,88000
343,36,High School,Engineer,HR,Boston,13,63000
